Rotation: -6.27799771760942, Roll: -0.16042317282854412, Pitch: 28.356949604207134, Yaw: -13.94708296866646, Timestamp: 1754490887145
Rotation: -6.27914648861924, Roll: -0.12495802873246561, Pitch: 28.36853344052707, Yaw: -14.005061366116458, Timestamp: 1754490887135
Rotation: -6.280834408076142, Roll: -0.0728034904243921, Pitch: 28.391165864697978, Yaw: -14.06183940636221, Timestamp: 1754490887125
Rotation: -6.28272677561951, Roll: -0.01422368606613869, Pitch: 28.431225980055128, Yaw: -14.114057033568354, Timestamp: 1754490887115
Rotation: -0.0016364984915870906, Roll: 0.05089530133781128, Pitch: 28.49306266912939, Yaw: -14.15752808532813, Timestamp: 1754490887105
Rotation: -0.003914559615028956, Roll: 0.1221808392432465, Pitch: 28.57921618179863, Yaw: -14.193444373027528, Timestamp: 1754490887095
Rotation: -0.006292905171332741, Roll: 0.19730160757910767, Pitch: 28.68770747641026, Yaw: -14.222745308205061, Timestamp: 1754490887085
Rotation: -0.008785816952676662, Roll: 0.2768846362445982, Pitch: 28.81182606824731, Yaw: -14.244512595946167, Timestamp: 1754490887075
Rotation: -0.011288091128204947, Roll: 0.35760533820375695, Pitch: 28.937814920635983, Yaw: -14.256916374573013, Timestamp: 1754490887071
Rotation: -0.01368792758044357, Roll: 0.43559414556467424, Pitch: 29.046926844417165, Yaw: -14.261802428721715, Timestamp: 1754490887055
Rotation: -0.015725197729001383, Roll: 0.5020014571062014, Pitch: 29.12283769850874, Yaw: -14.260848550193696, Timestamp: 1754490887045
Rotation: -0.017085569422193636, Roll: 0.5461142433623515, Pitch: 29.15300778245215, Yaw: -14.253281844220233, Timestamp: 1754490887035
Rotation: -0.017651356540851815, Roll: 0.5637491761902835, Pitch: 29.133396024116344, Yaw: -14.239931664052113, Timestamp: 1754490887025
Rotation: -0.017475964290282864, Roll: 0.5568128890561345, Pitch: 29.075159041441708, Yaw: -14.224288703332798, Timestamp: 1754490887017
Rotation: -0.01669256945042541, Roll: 0.5303282995325966, Pitch: 29.005620491153415, Yaw: -14.215522102762252, Timestamp: 1754490887005
Rotation: -0.01567926383155882, Roll: 0.4972933373274634, Pitch: 28.964846032853323, Yaw: -14.219080110656826, Timestamp: 1754490886995
Rotation: -0.015253135531422046, Roll: 0.4840659837362975, Pitch: 28.979418704054694, Yaw: -14.225110736405647, Timestamp: 1754490886985
Rotation: -0.015881596127075515, Roll: 0.5054446162506623, Pitch: 29.0482846746537, Yaw: -14.217797813797334, Timestamp: 1754490886976
Rotation: -0.017788869510959593, Roll: 0.5684945432169434, Pitch: 29.148506987804865, Yaw: -14.197126968015098, Timestamp: 1754490886967
Rotation: -0.020506075179238525, Roll: 0.6581290280623316, Pitch: 29.251492945340246, Yaw: -14.166054683898398, Timestamp: 1754490886956
Rotation: -0.022751479213878767, Roll: 0.7325826598221911, Pitch: 29.33042488745005, Yaw: -14.120023652308813, Timestamp: 1754490886945
Rotation: -0.023681980831740557, Roll: 0.7636527557845743, Pitch: 29.365571580258038, Yaw: -14.05527287664085, Timestamp: 1754490886935
Rotation: -0.02335906921422204, Roll: 0.7526701604827452, Pitch: 29.34718511184726, Yaw: -13.979567419449443, Timestamp: 1754490886925
Rotation: -0.02108559141992128, Roll: 0.6776550798010748, Pitch: 29.284707866845647, Yaw: -13.908753191568103, Timestamp: 1754490886917
Rotation: -0.017617086530663517, Roll: 0.564331670240353, Pitch: 29.205975390874414, Yaw: -13.84152868191325, Timestamp: 1754490886905
Rotation: -0.015071094900716453, Roll: 0.4812513316316305, Pitch: 29.129661557899045, Yaw: -13.76429331405773, Timestamp: 1754490886895
Rotation: -0.012914090898715092, Roll: 0.41097377466881113, Pitch: 29.047450922513892, Yaw: -13.677225033550048, Timestamp: 1754490886886
Rotation: -0.01084284709164507, Roll: 0.3438903581478295, Pitch: 28.965466505351085, Yaw: -13.584256275344996, Timestamp: 1754490886875
Rotation: -0.008225999626181313, Roll: 0.2600665309921078, Pitch: 28.88880666311903, Yaw: -13.485210107307351, Timestamp: 1754490886865
Rotation: -0.004557077482525873, Roll: 0.14363352291723133, Pitch: 28.81528524803963, Yaw: -13.384433049866313, Timestamp: 1754490886855
Rotation: -6.283034064015628, Roll: -0.004752858028111771, Pitch: 28.743644304058396, Yaw: -13.295681523034943, Timestamp: 1754490886845
Rotation: -6.277457494625045, Roll: -0.17946039529243038, Pitch: 28.671129604654322, Yaw: -13.235623343425402, Timestamp: 1754490886835
Rotation: -6.271659455834836, Roll: -0.3599989824211675, Pitch: 28.595209801326572, Yaw: -13.204131775504313, Timestamp: 1754490886825
Rotation: -6.266309953474052, Roll: -0.5254798808634964, Pitch: 28.520411636835604, Yaw: -13.189024332899926, Timestamp: 1754490886815
